id,province,urban,hh_size,true_income,reported_income,utility_kwh,mobile_money,poor_true,split
1,Khyber Pakhtunkhwa,0,8,13185.372592060603,13321.181580706518,80.49758565640236,0,1,test
2,Khyber Pakhtunkhwa,1,5,17672.96573136705,12138.902421973955,39.65849080078583,1,1,train
3,Punjab,1,4,13674.880370747309,11646.119624780777,47.71424889593876,1,1,train
4,Khyber Pakhtunkhwa,0,9,13213.730705635642,11347.484798615149,66.69514327348864,1,1,test
5,Sindh,1,4,100639.19536264913,88808.38520001122,138.6894261039019,0,0,train
6,Punjab,1,5,213187.57894564673,165928.53511389502,215.9120774178884,1,0,train
7,Sindh,0,4,148310.31997803875,116443.6669134714,165.28011923783097,1,0,test
8,Punjab,1,3,41161.10194132419,33200.91273210461,104.01133863159598,1,0,train
9,Sindh,0,6,62724.56106799454,53581.97735925598,177.14551013189458,0,0,train
10,Sindh,0,5,37865.05234481365,27829.632876692227,62.25170476076363,0,1,train
11,Punjab,0,2,37318.431870939086,32670.79704738898,66.6590761283334,0,1,train
12,Sindh,1,6,37542.62402190175,29580.01238468809,79.30819424708534,1,1,train
13,Khyber Pakhtunkhwa,1,7,42367.46096699418,30651.86772267545,65.03397793466976,0,0,train
14,Punjab,0,6,44705.02512176243,37864.25658944044,36.155952907770846,0,0,test
15,Punjab,1,2,22185.857582490957,24978.25576869527,46.54231029316167,0,1,train
16,Balochistan,1,9,41853.08784914788,36832.489730906294,114.32618794891266,0,0,train
17,Balochistan,0,7,81264.19208195455,68250.7654078996,135.93219651053386,0,0,train
18,Punjab,0,7,52976.10276547169,47166.95786962645,99.15769744476104,0,0,train
19,Punjab,0,4,31644.1954099967,36843.09394455639,41.975342285781664,0,1,test
20,Sindh,0,4,28032.748791563343,21153.826484924284,54.74620495455391,0,1,train
21,Khyber Pakhtunkhwa,0,9,30846.15129161523,30584.240557359215,108.17069010457588,0,1,train
22,Punjab,1,5,19463.998270763233,11774.523532886144,34.09685651732818,1,1,train
23,Balochistan,1,2,9846.082609612971,8012.91098480649,10.216743187901102,0,1,train
24,Balochistan,1,6,64712.080773300884,59770.30154963089,85.34420374273783,0,0,train
25,Punjab,1,4,17355.253303269,15730.570322472691,105.02877870766966,1,1,train
26,Punjab,1,6,36487.99234480428,29840.61466790039,141.39688625414243,1,1,train
